sid,season,name,issued_time,forecast_time,latitude,longitude,msw_kmh,cat,tcws_1,tcws_2,tcws_3,tcws_4,tcws_5
24-TC06,2024,FERDIE,2024-09-13 23:00:00,2024-09-14 08:00:00,26.8,131.0,95.0,STS,,,,,
24-TC06,2024,FERDIE,2024-09-14 05:00:00,2024-09-14 14:00:00,27.4,129.6,100.0,STS,,,,,
24-TC06,2024,FERDIE,2024-09-13 23:00:00,2024-09-14 20:00:00,28.5,128.3,100.0,STS,,,,,
24-TC06,2024,FERDIE,2024-09-14 05:00:00,2024-09-15 02:00:00,28.8,127.0,110.0,STS,,,,,
24-TC07,2024,GENER,2024-09-16 08:00:00,2024-09-16 17:00:00,17.1,124.6,55.0,TD,Kalinga; Apayao,,,,
24-TC07,2024,GENER,2024-09-16 11:00:00,2024-09-16 20:00:00,16.9,123.6,55.0,TD,Mountain Province; Ilocos Norte; Nueva Ecija; Ilocos Sur; Pangasinan; La Union; Zambales; Benguet; Kalinga; Aurora; Ifugao; Quezon; Tarlac; Abra,,,,
24-TC07,2024,GENER,2024-09-16 14:00:00,2024-09-16 23:00:00,17.0,122.6,55.0,TD,Mountain Province; Ilocos Norte; Nueva Ecija; Ilocos Sur; Pangasinan; La Union; Zambales; Benguet; Kalinga; Aurora; Ifugao; Quezon; Tarlac; Abra,,,,
24-TC07,2024,GENER,2024-09-16 17:00:00,2024-09-17 02:00:00,17.2,122.9,55.0,TD,Mountain Province; Ilocos Norte; Nueva Ecija; Ilocos Sur; Pangasinan; La Union; Zambales; Benguet; Kalinga; Aurora; Ifugao; Quezon; Tarlac; Abra,,,,
24-TC07,2024,GENER,2024-09-16 20:00:00,2024-09-17 05:00:00,17.1,121.9,55.0,TD,Mountain Province; Ilocos Norte; Nueva Ecija; Ilocos Sur; Pangasinan; La Union; Zambales; Benguet; Kalinga; Aurora; Ifugao; Quezon; Tarlac; Abra,,,,
24-TC07,2024,GENER,2024-09-16 23:00:00,2024-09-17 08:00:00,17.0,120.5,55.0,TD,Pampanga,,,,
24-TC07,2024,GENER,2024-09-17 02:00:00,2024-09-17 11:00:00,16.9,119.8,55.0,TD,,,,,
24-TC07,2024,GENER,2024-09-17 05:00:00,2024-09-17 14:00:00,16.6,118.7,55.0,TD,Quezon; Rizal,,,,
24-TC07,2024,GENER,2024-09-17 08:00:00,2024-09-17 17:00:00,16.5,118.1,55.0,TD,Quezon; Rizal,,,,
24-TC07,2024,GENER,2024-09-17 11:00:00,2024-09-17 20:00:00,16.5,118.5,55.0,TD,Mountain Province; Ilocos Norte; Nueva Ecija; Ilocos Sur; Pangasinan; La Union; Pampanga; Zambales; Benguet; Kalinga; Ifugao; Tarlac; Abra,,,,
24-TC07,2024,GENER,2024-09-17 14:00:00,2024-09-17 23:00:00,16.5,116.4,55.0,TD,Ilocos Norte; Ilocos Sur; Pangasinan; La Union; Benguet; Apayao; Abra,,,,
24-TC07,2024,GENER,2024-09-17 17:00:00,2024-09-18 02:00:00,16.8,115.2,55.0,TD,,,,,
24-TC07,2024,GENER,2024-09-17 08:00:00,2024-09-18 05:00:00,16.2,115.4,65.0,TS,Quezon; Rizal,,,,
24-TC07,2024,GENER,2024-09-17 23:00:00,2024-09-18 08:00:00,16.9,114.8,65.0,TS,,,,,
24-TC07,2024,GENER,2024-09-17 14:00:00,2024-09-18 11:00:00,16.1,113.4,65.0,TS,Ilocos Norte; Ilocos Sur; Pangasinan; La Union; Benguet; Apayao; Abra,,,,
24-TC07,2024,GENER,2024-09-18 05:00:00,2024-09-18 14:00:00,16.9,114.0,65.0,TS,,,,,
24-TC07,2024,GENER,2024-09-17 08:00:00,2024-09-18 17:00:00,16.2,113.2,65.0,TS,Quezon; Rizal,,,,
24-TC07,2024,GENER,2024-09-17 23:00:00,2024-09-18 20:00:00,16.4,112.0,65.0,TS,,,,,
24-TC07,2024,GENER,2024-09-17 14:00:00,2024-09-18 23:00:00,16.0,111.1,65.0,TS,Ilocos Norte; Ilocos Sur; Pangasinan; La Union; Benguet; Apayao; Abra,,,,
24-TC07,2024,GENER,2024-09-18 05:00:00,2024-09-19 02:00:00,16.4,110.8,65.0,TS,,,,,
24-TC07,2024,GENER,2024-09-17 08:00:00,2024-09-19 05:00:00,16.4,111.5,75.0,TS,Quezon; Rizal,,,,
24-TC07,2024,GENER,2024-09-17 23:00:00,2024-09-19 08:00:00,16.4,109.7,65.0,TS,,,,,
24-TC07,2024,GENER,2024-09-17 14:00:00,2024-09-19 11:00:00,16.0,109.9,75.0,TS,Ilocos Norte; Ilocos Sur; Pangasinan; La Union; Benguet; Apayao; Abra,,,,
24-TC07,2024,GENER,2024-09-18 05:00:00,2024-09-19 14:00:00,16.6,108.5,65.0,TS,,,,,
24-TC07,2024,GENER,2024-09-17 08:00:00,2024-09-19 17:00:00,16.9,110.5,75.0,TS,Quezon; Rizal,,,,
24-TC07,2024,GENER,2024-09-17 11:00:00,2024-09-19 20:00:00,16.9,110.3,75.0,TS,Mountain Province; Ilocos Norte; Nueva Ecija; Ilocos Sur; Pangasinan; La Union; Pampanga; Zambales; Benguet; Kalinga; Ifugao; Tarlac; Abra,,,,
